SIM,N,SIGMA2,XDIST,METHOD,alpha_hat,beta_hat
8,300,1,normal,RC,-0.163290793371581,0.801600326888982
8,300,1,normal,True,-0.179060353436615,0.986229184991097
9,100,0.5,chi-square,Naive,0.00265860575980192,0.464849333402861
9,100,0.5,chi-square,RC,-0.0459355340243123,0.549280270845949
9,100,0.5,chi-square,True,-0.014330943154022,0.955365125200818
9,100,0.5,normal,Naive,-0.162353390049556,0.694750359454335
9,100,0.5,normal,RC,-0.174097140771447,1.03921533117247
9,100,0.5,normal,True,-0.226570618715704,1.21677816740798
9,100,1,chi-square,Naive,0.474851477926752,0.586283194764768
9,100,1,chi-square,RC,0.30825651300475,0.857473860298115
9,100,1,chi-square,True,0.594345440687226,0.817575780329681
9,100,1,normal,Naive,0.149644557513493,0.843299182553031
9,100,1,normal,RC,-0.316036601641827,2.87172789780576
9,100,1,normal,True,0.0659225483775408,1.14284193068692
9,300,0.5,chi-square,Naive,-0.280315875325685,0.625972244067921
9,300,0.5,chi-square,RC,-0.30351747970242,0.83729392671956
9,300,0.5,chi-square,True,-0.275971640419309,1.05685968942433
9,300,0.5,normal,Naive,-0.0652521116164123,0.706882502559376
9,300,0.5,normal,RC,-0.0488660096739716,1.02660514161834
9,300,0.5,normal,True,-0.0988351495608569,1.27252837303626
9,300,1,chi-square,Naive,0.104695602526027,0.29440946252723
9,300,1,chi-square,RC,0.0671569118648813,0.390057983582124
9,300,1,chi-square,True,0.074608720870864,0.893814447633253
9,300,1,normal,Naive,-0.242522835696001,0.496440714970876
9,300,1,normal,RC,-0.20376053841927,0.998681131541685
9,300,1,normal,True,-0.342306488330313,1.40767349423138
10,100,0.5,chi-square,Naive,0.0958391140143937,0.527449131589662
10,100,0.5,chi-square,RC,0.0711243197272173,0.797969990577683
10,100,0.5,chi-square,True,0.0912166053128838,1.03377917758136
10,100,0.5,normal,Naive,0.281679684942652,0.513538322716398
10,100,0.5,normal,RC,0.265493014547666,0.912008278113394
10,100,0.5,normal,True,0.370916082313887,0.838686637410807
10,100,1,chi-square,Naive,0.366072010666644,0.485306162057662
10,100,1,chi-square,RC,0.304816175648028,0.616763418308604
10,100,1,chi-square,True,0.359431798066607,0.418615209846345
10,100,1,normal,Naive,-0.439408386084609,0.606154577936759
10,100,1,normal,RC,-0.476188541947537,1.36445564714442
10,100,1,normal,True,-0.344994361980137,1.10774585185907
10,300,0.5,chi-square,Naive,0.169002146259362,0.453849855282022
10,300,0.5,chi-square,RC,0.125233418190923,0.591640590255617
10,300,0.5,chi-square,True,0.155221602756926,0.768745624884505
10,300,0.5,normal,Naive,-0.274042634992887,0.6758061092466
10,300,0.5,normal,RC,-0.293389652398867,0.99566985422754
10,300,0.5,normal,True,-0.288416605560588,1.22514655164443
10,300,1,chi-square,Naive,-0.0243323196357693,0.545667767353681
10,300,1,chi-square,RC,-0.098998909831302,0.759076051572657
10,300,1,chi-square,True,-0.0260488498075744,0.994594237515346
10,300,1,normal,Naive,-0.133003096045404,0.446422725500117
10,300,1,normal,RC,-0.123477929907656,0.770419572819415
10,300,1,normal,True,-0.183791550656521,0.980375031451832
11,100,0.5,chi-square,Naive,-0.159165519445494,0.635121826016631
11,100,0.5,chi-square,RC,-0.183711614983798,0.779569596528372
11,100,0.5,chi-square,True,-0.0795416001880825,1.38395335948342
11,100,0.5,normal,Naive,-0.145495244721563,0.559148078028734
11,100,0.5,normal,RC,-0.148359125131215,0.75226282093645
11,100,0.5,normal,True,-0.0710074200773617,0.949529166814898
