SIM,LAMBDA,alpha,beta
11,0.4,-0.0207979049288956,0.437829363138717
11,0.5,-0.0309628198338976,0.507680904578896
11,0.6,-0.0404114722348964,0.506752840012348
11,0.7,-0.0150690935675514,0.501799773985293
11,0.8,-0.0439187040712353,0.426392067904949
11,0.9,-0.017142908626667,0.48846228691852
11,1,0.00210471108385506,0.434605328801375
11,1.1,-0.0242452510697172,0.387704502909657
11,1.2,-0.0236815859610823,0.481585531816824
11,1.3,-0.0298963767641079,0.414452831287097
11,1.4,-0.0415505590920643,0.350700276997004
11,1.5,-0.0303759061710625,0.422600729458284
11,1.6,-0.0269494192325732,0.380571529278999
11,1.7,-0.0534707999851292,0.461408776951789
11,1.8,-0.00253916058066986,0.294484168117851
11,1.9,-0.00836713215266467,0.33055025768917
11,2,-0.0181375695270877,0.219780522032058
12,0,-0.0352475941193883,0.602708588599198
12,0.1,-0.0343638041355241,0.607367456441888
12,0.2,-0.040609053702495,0.538715186200296
12,0.3,-0.0115951172840858,0.488356901474309
12,0.4,-0.0477585014341582,0.548253975336904
12,0.5,-0.0321656452608183,0.495826333784641
12,0.6,-0.0506736831464658,0.46874098247105
12,0.7,-0.0442065832302591,0.534428295175252
12,0.8,-0.0533903064043226,0.453622668297308
12,0.9,-0.0277771946004709,0.463248749986578
12,1,-0.0217074836684241,0.451642050047325
12,1.1,-0.0385509609836755,0.437377570022597
12,1.2,-0.0217579681763988,0.435453250052962
12,1.3,-0.0142475632544524,0.440998283619506
12,1.4,-0.0111685295201704,0.342621549270786
12,1.5,-0.0374509840414365,0.468128168511969
12,1.6,-0.0219573074178625,0.259607595211844
12,1.7,0.0158451403030166,0.343168041689165
12,1.8,-0.00830932567582016,0.335319502279473
12,1.9,-0.0153536799994556,0.219994311713127
12,2,-0.01752694528411,0.478881637374362
13,0,-0.0352475941193883,0.602708588599198
13,0.1,-0.0325273172814308,0.591388621124481
13,0.2,-0.0244560285677568,0.584259927487734
13,0.3,-0.0609555411769072,0.538271680074601
13,0.4,-0.0593395213309601,0.538393098463182
13,0.5,-0.0368908953998066,0.516552831719912
13,0.6,-0.0533590448937845,0.574787417375016
13,0.7,-0.0235983569053697,0.437929759885742
13,0.8,-0.0484928276720944,0.522145202098764
13,0.9,-0.0413543973238097,0.395136406390965
13,1,-0.00843534887979219,0.459815772101679
13,1.1,-0.0467920699466053,0.51442958588416
13,1.2,-0.0457000188173629,0.380211317838748
13,1.3,-0.044556213211705,0.385393212222626
13,1.4,-0.048795334316026,0.396752357706292
13,1.5,-0.0680666875205679,0.510728156880635
13,1.6,-0.00265131961782547,0.394104081661894
13,1.7,-0.0212305768342102,0.438660578252995
13,1.8,-0.0366108832542359,0.297926990773203
13,1.9,0.00807340570476926,0.348538208006421
13,2,-0.0519548108198759,0.361821111855954
14,0,-0.0352475941193883,0.602708588599198
14,0.1,-0.0398874011620341,0.620779432757287
14,0.2,-0.0327491053973009,0.553286824649815
14,0.3,-0.0575328489393556,0.589960694195177
14,0.4,-0.0549417259854989,0.588868761184242
14,0.5,-0.0646786710783826,0.499372063985955
14,0.6,-0.0407979870771787,0.557528591447059
14,0.7,0.00931002068811779,0.475902078567369
14,0.8,-0.0202832017851972,0.488772661095094
14,0.9,-0.0226696791217412,0.470579755635344
14,1,-0.0210618107151245,0.378943135942298
14,1.1,-0.0389420285117603,0.36789231695668
14,1.2,-0.0162360297990103,0.443656002346776
14,1.3,-0.00908422204515267,0.465074943868635
14,1.4,-0.0195997802954172,0.314170398122857
14,1.5,-0.043108632125639,0.420271674401791
14,1.6,-0.0411424615728882,0.330206986232639
14,1.7,0.000416590014159711,0.345714297438029
14,1.8,-0.0151538008042935,0.29608675891262
14,1.9,-0.0513386582048063,0.373322482248947
14,2,0.0334307020038723,0.372669837339715
15,0,-0.0352475941193883,0.602708588599198
15,0.1,-0.0338893836335431,0.571329291518436
15,0.2,-0.0491957160857255,0.60383700975401
15,0.3,-0.0468261297687294,0.526164760353925
15,0.4,-0.00549275193540796,0.439151219264277
15,0.5,-0.00788155479136676,0.567943624068372
15,0.6,-0.0125110475494379,0.484824368270076
15,0.7,-0.0209189817985622,0.46806281653937
15,0.8,-0.0121360662370161,0.462170589240801
15,0.9,-0.0513485158097537,0.489797924400717
15,1,-0.0588177422859411,0.458278684161493
15,1.1,0.00789189387288256,0.40836049555519
15,1.2,-0.0145675836598799,0.381585611423264
15,1.3,-0.0505641807207579,0.420391343906973
15,1.4,-0.032021998086258,0.386600278707487
15,1.5,-0.0374701815299352,0.407440883980663
15,1.6,-0.020631002554595,0.337114626646376
15,1.7,0.00992694516778897,0.28396717332657
15,1.8,-0.0260879723603261,0.349985261396487
15,1.9,-0.0458273470352135,0.347039639492059
15,2,-0.0562257232808056,0.38695358509235
16,0,-0.0352475941193883,0.602708588599198
16,0.1,-0.0379297204808266,0.605056621981188
16,0.2,-0.0334604510218016,0.585911896271834
16,0.3,-0.0363330981636161,0.543786328826452
16,0.4,-0.0136376933175546,0.495355490792727
16,0.5,-0.0105062357972182,0.501341327264818
16,0.6,-0.0392318096565504,0.518136610230321
16,0.7,-0.0089057708626655,0.505551933688611
16,0.8,-0.0393393174915231,0.533554692457186
16,0.9,-0.0298595684375829,0.406083347881143
16,1,-0.0412493091200682,0.412326840292621
16,1.1,-0.0494693486117223,0.394722323380691
16,1.2,-0.0478911420583378,0.408967581318051
16,1.3,-0.0287268493513241,0.368163183926737
16,1.4,-0.0235921655219598,0.387155212822804
16,1.5,-0.0273522597593169,0.374473852909581
16,1.6,-0.0227002061124184,0.355096535156286
16,1.7,-0.000114704036954147,0.411723574900006
16,1.8,-0.0657866676834336,0.508688905458493
16,1.9,-0.0128382452972146,0.310946400348418
16,2,-0.0105602687090187,0.271190598425851
17,0,-0.0352475941193883,0.602708588599198
17,0.1,-0.0263565281773824,0.557245883409034
17,0.2,-0.0170484202841641,0.586545936959023
17,0.3,-0.0307681788395203,0.514476346556594
17,0.4,-0.00679216641300286,0.539262947167066
17,0.5,-0.0509298996404488,0.459843559441256
17,0.6,0.00171291058525456,0.54559989197904
17,0.7,-0.016834544047837,0.397509228040034
17,0.8,-0.0139283824837114,0.370605972736145
17,0.9,-0.0470806257160671,0.420363759203242
17,1,-0.0411789139657064,0.399790264731216
17,1.1,-0.0666704052900502,0.387413804370474
17,1.2,0.0180433259326145,0.397888827032239
17,1.3,-0.0510437271422504,0.440569095284233
17,1.4,-0.0238232471527838,0.433494806605631
17,1.5,0.00341677420845591,0.334406413483585
17,1.6,-0.0158697759030971,0.400772710000422
17,1.7,-0.0494939162573822,0.343944601161542
17,1.8,-0.0262046856359475,0.326825199883356
17,1.9,-0.00024686448220009,0.29975889981355
17,2,-0.0624432339219918,0.303320806695054
18,0,-0.0352475941193883,0.602708588599198
18,0.1,-0.0290029452603574,0.550498640034219
18,0.2,-0.0209373532974229,0.509371644248428
18,0.3,-0.0256174231114908,0.544187876011795
18,0.4,-0.0252634315788684,0.506022628440911
18,0.5,-0.0200450262950214,0.429281677197725
18,0.6,-0.0161968536028464,0.520598001972188
18,0.7,-0.0518723198428645,0.486910255431441
18,0.8,-0.0445236183156767,0.449383738285463
18,0.9,-0.0379888496177059,0.426449373665074
18,1,-0.0268435855922604,0.380323728230695
18,1.1,-0.0270532343572592,0.352805929477482
18,1.2,-0.0528007482896067,0.456805577000204
18,1.3,-0.0896277222550372,0.554857245500664
18,1.4,-0.00964998686729742,0.296605974155155
18,1.5,0.00527215602339482,0.351335535762765
18,1.6,-0.0380034635208385,0.32793957955548
18,1.7,0.000164185801354853,0.427655092561678
18,1.8,-0.0036232676446411,0.270761222267076
18,1.9,-0.0221855528093182,0.376953576627746
18,2,-0.0342596330931559,0.313496789168714
19,0,-0.0352475941193883,0.602708588599198
19,0.1,-0.0297987292918544,0.597091621600142
19,0.2,-0.0297173731013725,0.568637320714006
19,0.3,-0.0158651869977955,0.488185786765158
19,0.4,-0.0442163480277269,0.524680996071042
19,0.5,-0.0518082759828981,0.574913947702157
19,0.6,-0.0129662345086228,0.407334386974532
19,0.7,-0.0186416281345616,0.476677116692411
19,0.8,-0.0219304428548786,0.353205390848847
19,0.9,-0.027476074830152,0.422850317182489
